id,title,uploadedAt,duration
ccW8FolkOfU,كيف جعلتنا غزة أكثر صلابة؟,2025-02-06,00:08:16
_fiHe4YxgFQ,"ما ""السواء النفسي""… وكيف نصل إليه؟",2025-02-13,00:07:31
m2SbJ1rcYrs,المشكلات السياسية والاقتصادية سبب الأزمات النفسية!,2025-02-20,00:07:10
Tkpa6JGUJUQ,اختراع الاضطرابات النفسية ودليل الـDSM!,2025-02-27,00:20:34
oQsEY84p_BU,تحقيق الذات والإساءات الوالدية،ما الحمولة الحقيقية لبعض المصطلحات النفسية؟,2025-04-10,00:21:51
pBgInBvL26g,٨ مليار مريض نفسي محتمل... ما مخاطر العلاج النفسي على السوشيال ميديا؟,2025-04-17,00:25:11
1WduQl07-DE,علم النفس المقدس.. هل يحل علم النفس محل الدين؟,2025-04-24,00:26:30
hyTVL9bTMj0,هل أمام الطبيب النفسي لا فرق بين المسلم والملحد؟!,2025-05-01,00:22:38
UoOostGt3DA,صبر أم مرونة نفسية؟... هل يحتاج تهذيب النفس إلى دورات مدفوعة؟,2025-05-08,00:26:05
sMjeVk1hfLg,أسطورة تقدير الذات,2025-05-15,00:30:50
kI-JNWoGOWY,أسئلة الجمهور: لماذا تنتقدون علم النفس في الحين الذي تُدرس نظرياته في أرقى الجامعات؟,2025-05-29,00:45:04
_0_dpgNCcgw,ظاهرة الفودبلوجر.. كيف تحول الأكل من نعمة إلى استعراض في زمن الإبادة؟,2025-07-31,00:25:51
P5pATOp4Kqg,"انهيار اليسار.. لماذا فقدت قضايا ""التحرر الجنسي"" بريقها فجأة؟",2025-08-07,00:26:39
BTkTEnSlrpQ,مُجاهد لا صحفي... معركة الكلمة وقت المجاعة,2025-08-16,00:09:34
ksR_BmlDKow,الحقيقة غير المروية: كيف تُستخدم الشركات الناشئة باعتبارها سلاحًا أمنيًّا وعسكريًّا؟,2025-08-21,00:22:44
7WBkzxo4kE0,الإباحية سلاحا استخبراتيا: كيف صار الجنس سلاحا لتخريب المجتمعات!,2025-08-28,00:21:50
AwfKVIoMA_Q,أخطاء في مسيرة الطب النفسي، فهل يصحح العلم مسيرته؟,2025-09-04,00:30:01
U9aP-SRHktc,صدمات الطفولة والإساءات الوالدية... هل أصبحنا كلنا ضحايا؟!,2025-10-16,00:51:27
2bTDLJ7Q5p8,الثمن الحقيقي للرفاهية: كيف تدفع شعوبنا فاتورة الاستثمار؟,2025-11-06,00:27:54
p7bXpV2l89s,ذكاء اصطناعي أم غباء بشري… لماذا يوافق الذكاء الاصطناعي على كل ما نكتبه؟,2025-11-20,00:22:14
